Act,AreaId,AreaName,InCampaign100Route,InAnyPercentBaseline,SourceNote
1,G1_1,The Riverbank,true,true,SavageOranges patch-0.5 table
1,G1_town,Clearfell Encampment,true,true,SavageOranges patch-0.5 table
1,G1_2,Clearfell,true,true,SavageOranges patch-0.5 table
1,G1_3,Mud Burrow,true,false,SavageOranges patch-0.5 table
1,G1_4,The Grelwood,true,true,SavageOranges patch-0.5 table
1,G1_5,The Red Vale,true,true,SavageOranges patch-0.5 table
1,G1_6,The Grim Tangle,true,true,SavageOranges patch-0.5 table
1,G1_7,Cemetery of the Eternals,true,true,SavageOranges patch-0.5 table
1,G1_9,Tomb of the Consort,true,true,SavageOranges patch-0.5 table
1,G1_8,Mausoleum of the Praetor,true,true,SavageOranges patch-0.5 table
1,G1_11,Hunting Grounds,true,true,SavageOranges patch-0.5 table
1,G1_12,Freythorn,true,false,SavageOranges patch-0.5 table
1,G1_13_1,Ogham Farmlands,true,true,SavageOranges patch-0.5 table
1,G1_13_2,Ogham Village,true,true,SavageOranges patch-0.5 table
1,G1_14,The Manor Ramparts,true,true,SavageOranges patch-0.5 table
1,G1_15,Ogham Manor,true,true,SavageOranges patch-0.5 table
1,ExpeditionSubArea_Kalguur_Act1,Lost Catacombs,true,false,Runes of Aldur story area; 100% test counts first entry
2,G2_1,Vastiri Outskirts,true,true,SavageOranges patch-0.5 table
2,G2_town,The Ardura Caravan,true,true,SavageOranges patch-0.5 table
2,G2_3a,The Halani Gates (blocked),true,true,SavageOranges patch-0.5 table
2,G2_10_1,Mawdun Quarry,true,true,SavageOranges patch-0.5 table
2,G2_10_2,Mawdun Mine,true,true,SavageOranges patch-0.5 table
2,G2_2,Traitor's Passage,true,true,SavageOranges patch-0.5 table
2,G2_3,The Halani Gates,true,true,SavageOranges patch-0.5 table
2,G2_4_1,Keth,true,true,SavageOranges patch-0.5 table
2,G2_4_2,The Lost City,true,true,SavageOranges patch-0.5 table
2,G2_4_3,Buried Shrines,true,true,SavageOranges patch-0.5 table
2,G2_5_1,Mastodon Badlands,true,true,SavageOranges patch-0.5 table
2,Abyss_Intro,Lightless Passage,true,false,SavageOranges patch-0.5 table
2,Abyss_Hub,The Well of Souls,true,false,SavageOranges patch-0.5 table
2,G2_5_2,The Bone Pits,true,true,SavageOranges patch-0.5 table
2,G2_6,Valley of the Titans,true,true,SavageOranges patch-0.5 table
2,G2_7,The Titan Grotto,true,true,SavageOranges patch-0.5 table
2,ExpeditionSubArea_Kalguur_Act2,Skull of the Titan,true,false,Runes of Aldur story area
2,G2_8,Deshar,true,true,SavageOranges patch-0.5 table
2,G2_9_1,Path of Mourning,true,true,SavageOranges patch-0.5 table
2,G2_9_2,The Spires of Deshar,true,true,SavageOranges patch-0.5 table
2,G2_13,Trial of the Sekhemas,true,false,SavageOranges patch-0.5 table
2,G2_12,Dreadnought,true,true,SavageOranges patch-0.5 table
3,G3_1,Sandswept Marsh,true,true,SavageOranges patch-0.5 table
3,G3_town,Ziggurat Encampment,true,true,SavageOranges patch-0.5 table
3,G3_3,Jungle Ruins,true,true,SavageOranges patch-0.5 table
3,G3_4,The Venom Crypts,true,false,SavageOranges patch-0.5 table
3,G3_2_1,Infested Barrens,true,true,SavageOranges patch-0.5 table
3,ExpeditionSubArea_Kalguur_Act3,Mystic Refuge,true,false,Two-part visit; 100% route intentionally counts first entry only
3,G3_5,Chimeral Wetlands,true,true,SavageOranges patch-0.5 table
3,G3_6_1,Jiquani's Machinarium,true,true,SavageOranges patch-0.5 table
3,G3_6_2,Jiquani's Sanctum,true,true,SavageOranges patch-0.5 table
3,G3_2_2,The Matlan Waterways,true,true,SavageOranges patch-0.5 table
3,G3_7,The Azak Bog,true,false,SavageOranges patch-0.5 table
3,G3_8,The Drowned City,true,true,SavageOranges patch-0.5 table
3,G3_9,The Molten Vault,true,false,SavageOranges patch-0.5 table
3,G3_11,Apex of Filth,true,true,SavageOranges patch-0.5 table
3,G3_12,Temple of Kopec,true,true,SavageOranges patch-0.5 table
3,G3_10_Airlock,The Temple of Chaos,true,false,SavageOranges patch-0.5 table
3,G3_14,Utzaal,true,true,SavageOranges patch-0.5 table
