Subgroup,AreaId,AreaName,DefaultEnabled,Behavior,InCampaign100Route,InAnyPercentBaseline,SourceNote
Act 1,G1_1,The Riverbank,false,start-trigger,start-trigger,False,SavageOranges patch-0.5 table
Act 1,G1_town,Clearfell Encampment,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_2,Clearfell,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_3,Mud Burrow,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 1,G1_4,The Grelwood,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_5,The Red Vale,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_6,The Grim Tangle,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_7,Cemetery of the Eternals,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_9,Tomb of the Consort,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_8,Mausoleum of the Praetor,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_11,Hunting Grounds,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_12,Freythorn,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 1,G1_13_1,Ogham Farmlands,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_13_2,Ogham Village,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_14,The Manor Ramparts,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,G1_15,Ogham Manor,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 1,ExpeditionSubArea_Kalguur_Act1,Lost Catacombs,true,unordered-first-visit-split,true,False,Runes of Aldur story area; 100% test counts first entry
Act 2,G2_1,Vastiri Outskirts,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_town,The Ardura Caravan,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_3a,The Halani Gates (blocked),true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_10_1,Mawdun Quarry,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_10_2,Mawdun Mine,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_2,Traitor's Passage,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_3,The Halani Gates,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_4_1,Keth,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_4_2,The Lost City,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_4_3,Buried Shrines,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,G2_5_1,Mastodon Badlands,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
Act 2,Abyss_Intro,Lightless Passage,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 2,Abyss_Hub,The Well of Souls,true,unordered-first-visit-split,true,False,SavageOranges patch-0.5 table
Act 2,G2_5_2,The Bone Pits,true,unordered-first-visit-split,true,True,SavageOranges patch-0.5 table
