# Act 3 Any% Flexible
# Objectives are unordered.
@start=G3_1

G3_town                                # Ziggurat Encampment
G3_3                                   # Jungle Ruins
G3_2_1                                 # Infested Barrens
G3_5                                   # Chimeral Wetlands
G3_6_1                                 # Jiquani's Machinarium
G3_6_2                                 # Jiquani's Sanctum
G3_2_2                                 # The Matlan Waterways
G3_8                                   # The Drowned City
G3_11                                  # Apex of Filth
G3_12                                  # Temple of Kopec
G3_14                                  # Utzaal
G3_16                                  # Aggorat
G3_17                                  # The Black Chambers
